coeff-Mel25-5_wso.dat
0  0.0  -2  3  2
136  1
15  0  0.0
n  m  g  h  nOrder  CR  dLon
 15    4   1.713846e-03  -9.988446e-05
 15    5  -1.162414e-04   3.244289e-04
 15    6   1.179393e-04   3.820931e-05
 15    7   5.959288e-04  -4.179996e-04
 15    8  -2.627027e-04   3.788358e-04
 15    9   6.531869e-04   9.753686e-04
 15   10  -5.985948e-04   2.299578e-05
 15   11  -6.716322e-04   1.210781e-03
 15   12  -3.479766e-04  -4.435875e-04
 15   13   8.630720e-05   3.315736e-06
 15   14   2.767238e-05  -2.293810e-05
 15   15  -8.345073e-06   2.544264e-05
