General poloidal plus toroidal field
135 3 -3
13  0 -5.974819e-04 -1.134135e-06
13  1 -4.571381e-03  5.167436e-03
13  2 -2.033353e-04  1.236719e-04
13  3  5.715829e-03  2.290211e-03
13  4  6.215367e-03 -1.954497e-04
13  5 -2.169281e-03  5.148243e-03
13  6  2.110154e-03  9.331532e-04
13  7  6.195433e-04 -3.914020e-04
13  8  9.218636e-03 -1.147397e-02
13  9 -1.036305e-02 -1.863628e-02
13 10 -5.607761e-03  6.335961e-04
13 11  3.879691e-03 -4.479580e-03
13 12 -8.705350e-04 -1.205249e-03
13 13  4.397843e-05  2.648155e-05
14  0 -3.125130e-04 -1.134135e-06
14  1 -3.093500e-03  2.103668e-03
14  2  8.194334e-04  1.907428e-03
14  3  1.507203e-03 -2.345410e-03
14  4  3.766419e-03 -5.789118e-03
14  5 -5.341568e-04  1.716270e-03
14  6  7.387750e-03  3.463623e-03
14  7 -3.882388e-03 -3.335398e-04
14  8  1.785444e-03 -1.385573e-03
14  9  1.133339e-02  2.601004e-03
14 10  7.411918e-03 -1.529165e-03
14 11  1.147664e-02  6.821226e-04
14 12  4.561050e-03 -3.293528e-03
14 13  1.630576e-03  9.017202e-05
14 14  1.203729e-04 -1.803748e-04
15  0  2.722071e-04 -1.134135e-06
15  1 -1.982327e-03  1.718048e-03
15  2 -1.690887e-03 -6.284782e-03
15  3  3.611947e-04  4.066972e-04
15  4 -1.118872e-02  1.402910e-03
15  5 -9.055242e-04  2.851898e-03
15  6 -1.209781e-03 -4.586702e-04
15  7  4.781504e-03 -2.502846e-03
15  8  1.801578e-03 -2.593685e-03
15  9  3.191716e-03  5.833883e-03
15 10  2.572475e-03  1.634253e-04
15 11 -6.244239e-03  7.809263e-03
15 12  1.097679e-03  3.594894e-03
15 13  4.400647e-05  3.828520e-05
15 14 -3.077100e-04  3.817256e-04
15 15 -1.304121e-04  2.473180e-04

 1  0  4.944660e+01 -1.134135e-06
 1  1 -1.014957e+01  8.395930e+00
 2  0  2.511067e+01 -1.134135e-06
 2  1  1.307793e+00 -2.774817e+00
 2  2  1.801662e+00 -4.026692e-01
 3  0  6.172343e+00 -1.134135e-06
 3  1  1.967009e+00 -2.849895e+00
 3  2 -7.050889e-01  1.704022e-01
 3  3  1.531663e+00 -3.414489e-03
 4  0  8.096190e-01 -1.134135e-06
 4  1  4.283147e-01 -7.934229e-01
 4  2 -9.207212e-01  2.029916e-01
 4  3  1.193387e-01  8.167706e-03
 4  4  5.031186e-01  4.410614e-01
 5  0  4.205220e-01 -1.134135e-06
 5  1 -1.185160e-02 -1.072163e-01
 5  2 -2.720379e-01  6.269543e-02
 5  3 -6.939320e-02  1.486387e-02
 5  4  1.674066e-02  7.179418e-02
 5  5  1.955496e-01 -1.147876e-02
 6  0  1.214006e-01 -1.134135e-06
 6  1  5.328563e-03 -4.682865e-02
 6  2 -1.060965e-02  7.865671e-03
 6  3  1.623685e-03  3.030151e-03
 6  4 -1.788537e-02 -2.762050e-04
 6  5 -5.593724e-03 -1.083474e-03
 6  6 -1.680590e-02 -2.078128e-02
 7  0 -7.654921e-03 -1.134135e-06
 7  1 -1.308377e-02 -5.964758e-04
 7  2 -4.280133e-03  1.896742e-03
 7  3 -1.712175e-02 -1.722794e-03
 7  4 -1.596830e-03  9.355405e-03
 7  5  9.577036e-04  2.035194e-03
 7  6  2.304158e-03  2.274309e-03
 7  7 -4.186217e-03  5.709693e-03
 8  0  8.188880e-03 -1.134135e-06
 8  1 -7.474855e-03  2.900758e-03
 8  2  3.956478e-03 -5.181029e-04
 8  3 -4.499324e-03 -1.694455e-05
 8  4 -5.096488e-03 -7.358365e-03
 8  5 -1.138550e-03  2.547072e-04
 8  6 -7.477025e-04 -3.618379e-03
 8  7 -8.583863e-04  2.348417e-03
 8  8  1.304713e-03  2.360166e-04
 9  0 -1.160887e-02 -1.134135e-06
 9  1 -7.542410e-04 -3.255435e-03
 9  2  5.154992e-03 -3.096878e-04
 9  3 -1.935378e-04 -1.292166e-04
 9  4  3.349547e-03 -4.662183e-03
 9  5  6.522832e-04  8.869649e-04
 9  6 -3.541149e-04  5.965657e-04
 9  7  6.164259e-05  1.089541e-03
 9  8  1.270326e-03  3.421954e-04
 9  9 -3.320221e-05  1.300575e-04
10  0 -4.149688e-03 -1.134135e-06
10  1 -2.646103e-03 -1.082355e-03
10  2 -9.252507e-04  1.798364e-04
10  3 -1.312476e-03  6.821631e-05
10  4  8.979080e-04  7.703687e-04
10  5  3.212947e-03  2.558178e-05
10  6 -3.974564e-04 -1.881027e-03
10  7  3.365678e-04 -5.710543e-04
10  8 -1.268466e-03 -1.720502e-04
10  9  4.540814e-04  2.210652e-04
10 10 -6.976121e-05 -1.441046e-04
11  0  1.016968e-03 -1.134135e-06
11  1 -5.426295e-04 -3.239021e-03
11  2 -3.774078e-05 -8.997421e-05
11  3  2.473947e-03  3.264228e-04
11  4  6.967325e-04 -6.507815e-04
11  5 -1.374522e-03 -4.659505e-04
11  6 -8.069117e-04 -1.738393e-05
11  7 -8.945560e-05  3.954561e-04
11  8 -2.052993e-04  1.210711e-05
11  9  4.375277e-05  2.428210e-04
11 10 -2.065493e-04 -8.133188e-05
11 11 -9.676667e-05 -6.551607e-05
12  0 -1.193492e-03 -1.134135e-06
12  1 -1.440441e-03 -2.481837e-03
12  2 -4.151099e-04 -2.123104e-05
12  3  2.015219e-04  5.068817e-05
12  4  7.568497e-04  6.878152e-04
12  5 -2.823735e-04 -5.308124e-05
12  6  3.570559e-04  1.154147e-03
12  7  3.061678e-04 -1.200470e-03
12  8  2.048796e-04  6.367853e-05
12  9 -4.102503e-04  1.328714e-04
12 10  2.117112e-04  4.927620e-04
12 11  6.250278e-05 -3.734422e-05
12 12  1.167702e-04 -6.379491e-05
13  0  2.307691e-03 -1.134135e-06
13  1 -1.803374e-03 -1.841430e-03
13  2 -5.778719e-04 -1.627298e-05
13  3  6.776467e-05  8.899221e-05
13  4 -1.091010e-03  5.428226e-04
13  5 -4.138252e-04 -9.907712e-05
13  6  1.284269e-04 -1.546951e-04
13  7 -2.502847e-05 -2.644487e-04
